date,home_team,away_team,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,avg_attendance,team,abbr,wins,losses,otl,game_num,gf,ga
2022-01-08,Anaheim Ducks,New York Rangers,1475.80424009517,1538.18886272219,0.482184640248391,0.517815359751609,1,4,1471.37752910315,1542.61557371421,49,35,42,13083,Anaheim Ducks,ANA,18,12,7,37,112,103
2022-01-09,Anaheim Ducks,Detroit Red Wings,1471.37752910315,1444.10969245875,0.609399660555928,0.390600339444072,4,3,1473.19515089838,1442.29207066352,4,29,16,13083,Anaheim Ducks,ANA,19,12,7,38,116,106
2022-01-11,Anaheim Ducks,Pittsburgh Penguins,1473.19515089838,1554.10092849603,0.455639953295802,0.544360046704198,1,4,1469.04936527195,1558.24671412246,57,38,47,13083,Anaheim Ducks,ANA,19,13,7,39,117,110
2022-01-14,Minnesota Wild,Anaheim Ducks,1543.47913064501,1469.04936527195,0.671786287610751,0.328213712389249,7,3,1546.69414701935,1465.83434889761,47,31,39,18542,Anaheim Ducks,ANA,19,14,7,40,120,117
2022-01-15,Chicago Blackhawks,Anaheim Ducks,1457.61602374305,1465.83434889761,0.559840473791441,0.440159526208559,3,0,1461.60013273152,1461.85023990914,5,20,12,18489,Anaheim Ducks,ANA,19,15,7,41,120,120
2022-01-19,Anaheim Ducks,Colorado Avalanche,1461.85023990914,1590.74757762019,0.388369868597973,0.611630131402027,0,2,1459.00448985622,1593.59332767311,71,19,45,13083,Anaheim Ducks,ANA,19,16,7,42,120,122
2022-01-21,Anaheim Ducks,Tampa Bay Lightning,1459.00448985622,1579.65142476292,0.399709313684363,0.600290686315637,5,1,1465.46415773365,1573.19175688549,63,15,39,13083,Anaheim Ducks,ANA,20,16,7,43,125,123
2022-01-24,Boston Bruins,Anaheim Ducks,1559.07291908744,1465.46415773365,0.695652154775011,0.304347845224989,3,5,1553.3806418401,1471.15643498099,55,21,38,17850,Anaheim Ducks,ANA,21,16,7,44,130,126
2022-01-26,Toronto Maple Leafs,Anaheim Ducks,1562.38734448709,1471.15643498099,0.692746388382205,0.307253611617795,4,3,1563.77538432276,1469.76839514532,61,17,39,15586,Anaheim Ducks,ANA,21,16,8,45,133,130
2022-01-27,Montreal Canadiens,Anaheim Ducks,1432.38744496632,1469.76839514532,0.51815229114687,0.48184770885313,4,5,1429.86989406073,1472.28594605091,2,18,10,15495,Anaheim Ducks,ANA,22,16,8,46,138,134
2022-01-29,Ottawa Senators,Anaheim Ducks,1456.62759854545,1472.28594605091,0.549261287778455,0.450738712221545,1,2,1453.93013770597,1474.98340689039,7,25,16,9155,Anaheim Ducks,ANA,23,16,8,47,140,135
2022-01-31,Detroit Red Wings,Anaheim Ducks,1433.07119740954,1474.98340689039,0.511637164232601,0.488362835767399,2,1,1435.42013668611,1472.63446761382,3,22,12,16984,Anaheim Ducks,ANA,23,16,9,48,141,137
2022-02-11,Anaheim Ducks,Seattle Kraken,1472.63446761382,1442.89138525833,0.612785957601514,0.387214042398486,3,4,1469.55568501881,1445.97016785334,4,18,11,13083,Anaheim Ducks,ANA,23,17,9,49,144,141
2022-02-16,Calgary Flames,Anaheim Ducks,1548.24670935265,1469.55568501881,0.677171881196518,0.322828118803482,6,2,1551.40278615644,1466.39960821502,51,20,35,14284,Anaheim Ducks,ANA,23,18,9,50,146,147
2022-02-17,Edmonton Oilers,Anaheim Ducks,1516.79316778999,1466.39960821502,0.640586766512051,0.359413233487949,7,3,1520.35315112656,1462.83962487845,29,91,60,14927,Anaheim Ducks,ANA,23,19,9,51,149,154
2022-02-19,Vancouver Canucks,Anaheim Ducks,1489.38073853448,1462.83962487845,0.608403435202535,0.391596564797465,4,7,1483.54358612055,1468.67677729238,14,40,27,17285,Anaheim Ducks,ANA,24,19,9,52,156,158
2022-02-22,Anaheim Ducks,San Jose Sharks,1468.67677729238,1452.7995517458,0.593684912906813,0.406315087093187,4,3,1470.57770483731,1450.89862420087,5,18,11,13083,Anaheim Ducks,ANA,25,19,9,53,160,161
2022-02-25,Anaheim Ducks,Los Angeles Kings,1470.57770483731,1497.93938686259,0.532533130508931,0.467466869491069,1,4,1465.60431094492,1502.91278075498,21,96,58,13083,Anaheim Ducks,ANA,25,20,9,54,161,165
2022-02-27,Anaheim Ducks,New York Islanders,1465.60431094492,1498.49852571654,0.52459733214049,0.47540266785951,0,4,1460.10784995691,1503.99498670455,19,15,17,13083,Anaheim Ducks,ANA,25,21,9,55,161,169
2022-03-01,Anaheim Ducks,Boston Bruins,1460.10784995691,1554.94355983742,0.435832034049507,0.564167965950493,4,3,1462.89301887757,1552.15839091676,48,7,27,13083,Anaheim Ducks,ANA,26,21,9,56,165,172
2022-03-04,Anaheim Ducks,Vegas Golden Knights,1462.89301887757,1549.13077990057,0.448037958513886,0.551962041486114,4,5,1460.76711273412,1551.25668604402,47,60,53,13083,Anaheim Ducks,ANA,26,22,9,57,169,177
2022-03-06,Anaheim Ducks,San Jose Sharks,1460.76711273412,1444.73087745875,0.593905693595948,0.406094306404052,3,2,1462.66686459841,1442.83112559446,2,5,3,13083,Anaheim Ducks,ANA,27,22,9,58,172,179
2022-03-08,Chicago Blackhawks,Anaheim Ducks,1439.83655735831,1462.66686459841,0.53902082145663,0.46097917854337,8,3,1444.97076308421,1457.53265887251,2,6,4,18489,Anaheim Ducks,ANA,27,23,9,59,175,187
2022-03-10,Nashville Predators,Anaheim Ducks,1528.6491845759,1457.53265887251,0.66756729798753,0.33243270201247,4,1,1531.54825032729,1454.63359312112,30,25,27,18495,Anaheim Ducks,ANA,27,24,9,60,176,191
2022-03-12,New Jersey Devils,Anaheim Ducks,1445.06241532168,1454.63359312112,0.557920563970019,0.442079436029981,2,1,1447.1558432222,1452.5401652206,2,2,2,12744,Anaheim Ducks,ANA,27,24,10,61,177,193
2022-03-13,New York Islanders,Anaheim Ducks,1507.79570533595,1452.5401652206,0.647004877615708,0.352995122384292,4,3,1509.4170039575,1450.91886659905,17,3,10,16942,Anaheim Ducks,ANA,27,25,10,62,180,197
