,date,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,team,abbr,game_num,last_game_date,team_rating,opposing_team_rating,rating_diff,gf,ga,rest_days,game_outcome
1985,2021-11-21,reg,Seattle Kraken,Washington Capitals,SEA,WSH,1458.89172304129,1552.10223920203,0.438133719783891,0.561866280216109,0.236547531598575,1.00917552124138,1.2273720103572,5,2,1464.1928549563,1546.80110728702,46,11,28,Seattle Kraken,SEA,18,2021-11-19,1458.89172304129,1552.10223920203,-93.21051616073987,5,2,2.0,W
1986,2021-11-24,reg,Seattle Kraken,Carolina Hurricanes,SEA,CAR,1464.1928549563,1574.02017586551,0.414742580684449,0.585257419315551,0.233694281963148,0.966256473739451,1.2674378082237,2,1,1467.10390215586,1571.10912866595,63,6,34,Seattle Kraken,SEA,19,2021-11-21,1464.1928549563,1574.02017586551,-109.82732090921013,2,1,3.0,W
1987,2021-11-26,reg,Tampa Bay Lightning,Seattle Kraken,TBL,SEA,1566.63698530021,1467.10390215586,0.70282393137365,0.29717606862635,0.21870679790082,1.47064228912932,0.748064508771496,3,0,1569.19510459455,1464.54578286152,61,11,36,Seattle Kraken,SEA,20,2021-11-24,1467.10390215586,1566.63698530021,-99.53308314435003,0,3,2.0,L
1988,2021-11-27,reg,Florida Panthers,Seattle Kraken,FLA,SEA,1559.23401407326,1464.54578286152,0.696966167305945,0.303033832694055,0.219498266982174,1.4604477357252,0.759050531256973,1,4,1552.3080042123,1471.47179272248,54,7,30,Seattle Kraken,SEA,21,2021-11-26,1464.54578286152,1559.23401407326,-94.68823121174,4,1,1.0,W
1989,2021-11-29,reg,Buffalo Sabres,Seattle Kraken,BUF,SEA,1438.8532060088,1471.47179272248,0.524993017311483,0.475006982688517,0.241030140941156,1.16447703460841,1.07655310633274,4,7,1433.96291061148,1476.3620881198,3,8,5,Seattle Kraken,SEA,22,2021-11-27,1471.47179272248,1438.8532060088,32.61858671367986,7,4,2.0,W
1990,2021-12-01,SO,Detroit Red Wings,Seattle Kraken,DET,SEA,1452.23749457015,1476.3620881198,0.537169008258297,0.462830991741703,0.23954964694655,1.18520901718424,1.05434062976231,4,3,1454.44455501619,1474.15502767376,6,18,12,Seattle Kraken,SEA,23,2021-11-29,1476.3620881198,1452.23749457015,24.12459354965017,3,4,2.0,OTL
1991,2021-12-03,reg,Seattle Kraken,Edmonton Oilers,SEA,EDM,1474.15502767376,1545.30484159062,0.469600511787709,0.530399488212291,0.2403725430521,1.06669449739054,1.17367804566156,4,3,1476.74291996162,1542.71694930276,52,11,31,Seattle Kraken,SEA,24,2021-12-01,1474.15502767376,1545.30484159062,-71.14981391686001,4,3,2.0,W
1992,2021-12-06,reg,Seattle Kraken,Pittsburgh Penguins,SEA,PIT,1476.74291996162,1528.29710597333,0.497763361454774,0.502236638545226,0.243805427203837,1.11797474112749,1.12583068607635,1,6,1471.12980588103,1533.91022005392,43,46,44,Seattle Kraken,SEA,25,2021-12-03,1476.74291996162,1528.29710597333,-51.554186011710044,1,6,3.0,L
1993,2021-12-09,reg,Seattle Kraken,Winnipeg Jets,SEA,WPG,1471.12980588103,1505.25275180801,0.52283302572128,0.47716697427872,0.24129299903013,1.1608031017044,1.08048989732572,0,3,1466.26323253997,1510.11932514907,25,42,33,Seattle Kraken,SEA,26,2021-12-06,1471.12980588103,1505.25275180801,-34.12294592698004,0,3,3.0,L
1994,2021-12-11,OT,Seattle Kraken,Columbus Blue Jackets,SEA,CBJ,1466.26323253997,1473.87992583907,0.560693712381756,0.439306287618244,0.236690197006172,1.22536691652592,1.01132328048025,4,5,1463.4985964891,1476.64456188994,10,17,13,Seattle Kraken,SEA,27,2021-12-09,1466.26323253997,1473.87992583907,-7.616693299100007,4,5,2.0,OTL
