,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
613,OT,Vegas Golden Knights,Montreal Canadiens,VEG,MTL,4,3,1,-1,3517.78
614,,Columbus Blue Jackets,Pittsburgh Penguins,CBJ,PIT,2,5,-3,3,261.48
615,,Carolina Hurricanes,New York Rangers,CAR,NYR,6,3,3,-3,687.48
616,,New York Islanders,Arizona Coyotes,NYI,ARI,4,0,4,-4,3479.1
617,OT,Detroit Red Wings,Dallas Stars,DET,DAL,4,5,-1,1,1607.96
618,,Chicago Blackhawks,Minnesota Wild,CHI,MIN,1,5,-4,4,545.48
619,SO,Vancouver Canucks,Florida Panthers,VAN,FLA,1,2,-1,1,4469.18
620,,Seattle Kraken,St. Louis Blues,SEA,STL,0,5,-5,5,2770.19
621,,Anaheim Ducks,Tampa Bay Lightning,ANA,TBL,5,1,4,-4,3518.22
622,,Buffalo Sabres,Philadelphia Flyers,BUF,PHI,6,3,3,-3,452.51
623,,Boston Bruins,Winnipeg Jets,BOS,WPG,3,2,1,-1,2163.07
624,,New York Islanders,Toronto Maple Leafs,NYI,TOR,1,3,-2,2,568.25
625,OT,Washington Capitals,Ottawa Senators,WSH,OTT,3,2,1,-1,717.2
626,OT,Colorado Avalanche,Montreal Canadiens,COL,MTL,3,2,1,-1,2687.27
627,,New Jersey Devils,Carolina Hurricanes,NJD,CAR,7,4,3,-3,676.81
628,,New York Rangers,Arizona Coyotes,NYR,ARI,7,3,4,-4,3456.71
629,,Nashville Predators,Detroit Red Wings,NSH,DET,4,1,3,-3,759.51
630,OT,Minnesota Wild,Chicago Blackhawks,MIN,CHI,4,3,1,-1,545.48
631,,Edmonton Oilers,Calgary Flames,EDM,CGY,5,3,2,-2,172.09
632,,San Jose Sharks,Tampa Bay Lightning,SJS,TBL,1,7,-6,6,3808.56
633,SO,Pittsburgh Penguins,Winnipeg Jets,PIT,WPG,3,2,1,-1,1700.08
634,,Columbus Blue Jackets,Ottawa Senators,CBJ,OTT,1,2,-1,1,827.8
635,,New Jersey Devils,Los Angeles Kings,NJD,LAK,2,3,-1,1,3924.11
636,,Seattle Kraken,Florida Panthers,SEA,FLA,5,3,2,-2,4357.73
637,,Vancouver Canucks,St. Louis Blues,VAN,STL,1,3,-2,2,2858.85
638,,Washington Capitals,Vegas Golden Knights,WSH,VEG,0,1,-1,1,3297.22
639,,Boston Bruins,Anaheim Ducks,BOS,ANA,3,5,-2,2,4233.66
640,SO,New York Rangers,Los Angeles Kings,NYR,LAK,3,2,1,-1,3938.91
641,,Philadelphia Flyers,Dallas Stars,PHI,DAL,1,3,-2,2,2086.25
642,,Minnesota Wild,Montreal Canadiens,MIN,MTL,8,2,6,-6,1552.68
643,,Colorado Avalanche,Chicago Blackhawks,COL,CHI,2,0,2,-2,1462.81
644,,Calgary Flames,St. Louis Blues,CGY,STL,7,1,6,-6,2315.42
645,OT,Carolina Hurricanes,Vegas Golden Knights,CAR,VEG,4,3,1,-1,3228.79
646,,Pittsburgh Penguins,Arizona Coyotes,PIT,ARI,6,3,3,-3,2949.5
647,,Ottawa Senators,Buffalo Sabres,OTT,BUF,5,0,5,-5,357.74
648,,New Jersey Devils,Dallas Stars,NJD,DAL,1,5,-4,4,2193.33
649,,New York Islanders,Philadelphia Flyers,NYI,PHI,4,3,1,-1,152.12
650,,Winnipeg Jets,Florida Panthers,WPG,FLA,3,5,-2,2,3006.72
651,,Seattle Kraken,Nashville Predators,SEA,NSH,2,4,-2,2,3171.08
652,OT,Vancouver Canucks,Edmonton Oilers,VAN,EDM,2,3,-1,1,764.76
